imo,name,cargo_capacity_cbm,build_year,propulsion_type,source_url,specs_verified
9337755,Mozah,266253,2008,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9780354,Hoegh Esperanza,170032,2017,dual fuel diesel electric (4x Wartsila W8L50DF) FSRU,https://en.wikipedia.org/wiki/H%C3%B6egh_Esperanza,True
9320075,Gaselys,154500,2006,unspecified,https://en.wikipedia.org/wiki/Gaselys,True
5412583,Methane Princess,35000,1964,unspecified,https://en.wikipedia.org/wiki/Methane_Princess,True
9713105,MOL FSRU Challenger,263000,2017,unspecified,https://en.wikipedia.org/wiki/MT_MOL_FSRU_Challenger,True
7360124,MV Gastor,122000,1976,unspecified,https://en.wikipedia.org/wiki/MV_Gastor,True
9337705,Al Gattara,216200,2007,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9337963,Al Safliya,210150,2007,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9397286,Al Ghashamiya,217591,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360831,Sheehaniya,210200,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9337729,Mesaimeer,216312,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9397353,Onaiza,210150,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9337717,Al Gharrafa,216200,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9337743,Al Hamla,216200,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9337731,Tembek,216200,2007,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9443683,Al Dafna,266366,2009,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9372743,Al Ghuwairiya,263300,2008,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9397315,Al Mafyar,266370,2009,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9397303,Mekaines,266476,2009,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9372731,Umm Slal,265978,2008,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9397327,Al Kharaitiyat,216300,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9397339,Al Rekayyat,216293,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9397341,Al Sadd,210200,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9397298,Al Mayeda,266000,2009,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9388821,Al Samriya,263300,2009,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9388833,Bu Samra,266000,2008,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9388819,Lijmiliya,263300,2009,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9431147,Al Bahiya,210100,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9431123,Al Karaana,210100,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9431111,Al Khattiya,210150,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9431135,Al Nuaman,210100,2009,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9443401,Aamira,266000,2010,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9443413,Rasheeda,266276,2010,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9418365,Shagra,266000,2009,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9431214,Zarga,266000,2010,Q-Max class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360790,Al Oraiq,210100,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360829,Umm Al Amad,210100,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360881,Al Kharsaah,217000,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360908,Al Khuwair,217000,2006,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360893,Al Shamal,217000,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9337951,Al Ruwais,210150,2007,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9337975,Duhail,210150,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360879,Al Huwaila,217000,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360867,Al Utouriya,215000,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360843,Al Thumama,216200,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360855,Al Sahla,216200,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360817,Fraiha,210100,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9360805,Murwab,210100,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9337987,Al Ghariya,210150,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9338266,Al Aamriya,210168,2008,Q-Flex class,https://www.nakilat.com/wp-content/uploads/2021/02/Fleet-List-02-2021.pdf,True
9501186,Adam LNG,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9086734,Al Rayyan,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9085625,Al Wajbah,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9682552,Amadi,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9645970,Arctic Aurora,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9284192,Arctic Lady,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9862918,Aristarchos,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9862906,Aristidis I,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9339260,Arwa Spirit,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9610779,Asia Endeavour,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9606950,Asia Energy,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9610767,Asia Excellence,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9680188,Asia Integrity,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9680190,Asia Venture,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9606948,Asia Vision,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9771080,Bahrain Spirit,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9401295,Barcelona Knutsen,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9613159,Beidou Star,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9766542,British Achiever,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9766554,British Contributor,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9333591,British Emerald,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9766578,British Mentor,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9766530,British Partner,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9766580,British Sponsor,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9368314,BW Brussels,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
9758076,BW Lilac,170000,2010,unspecified (unverified bulk entry),https://www.slng.com.sg/sites/default/files/2022-10/SLNG%20Compatible%20Vessels%20List_Sep%202022.pdf,False
